Seaguel Gonzales (157-123-24),55,26,11,100,29,19,4,.2821,50.0,56,5,5,2,2,3.420,1.340,11-5-0
Ham Fighters (134-155-15),46,22,6,73,23,23,5,.2212,52.2,51,2,2,5,1,4.785,1.310,5-11-0
The Bobos (139-135-30),53,30,10,96,23,25,1,.2961,65.1,57,7,6,2,2,3.582,1.179,11-3-2
Harare Antelopes (97-186-21),46,28,10,92,27,15,5,.2893,36.2,34,1,1,6,2,4.418,1.255,3-11-2
Toronto Donkeys (130-156-18),41,22,5,65,25,18,2,.2158,62.1,51,6,4,3,2,2.743,1.171,6-9-1
Man Bear Puig (141-137-26),42,25,10,82,28,12,2,.2211,49.1,55,5,3,5,0,3.101,1.155,9-6-1
EEE's Parrots (152-130-22),64,28,10,107,31,19,4,.3107,67.2,77,6,6,5,0,3.059,1.064,13-2-1
Explosive Renteria (136-145-23),57,21,6,86,27,16,4,.2754,55.0,48,4,1,6,3,3.600,1.455,2-13-1
Dickeys Spicy BonERA (178-107-19),58,23,3,80,28,13,1,.2636,55.0,50,4,2,4,0,3.927,1.309,6-8-2
Mighty Camels (140-130-34),60,32,12,105,42,27,2,.3109,42.2,36,4,1,3,0,4.852,1.383,8-6-2
